"time","down.sawtooth","up.sawtooth"
18.86,0.7900000021454828,0.5900000001803801
18.862,0.7880000021454839,0.5880000001803812
18.864,0.7860000021454832,0.5860000001803805
18.866,0.7840000021454843,0.5840000001803816
18.868,0.7820000021454854,0.5820000001803827
18.87,0.7800000021454829,0.5800000001803802
18.872,0.778000002145484,0.5780000001803813
18.874,0.7760000021454851,0.5760000001803824
18.876,0.7740000021454826,0.5740000001803799
18.878,0.7720000021454837,0.572000000180381
18.88,0.7700000021454848,0.5700000001803821
18.882,0.7680000021454824,0.5680000001803797
18.884,0.7660000021454835,0.5660000001803808
18.886,0.7640000021454846,0.5640000001803819
18.888,0.7620000021454821,0.5620000001803794
18.89,0.7600000021454832,0.5600000001803805
18.892,0.7580000021454844,0.5580000001803817
18.894,0.7560000021454855,0.5560000001803828
18.896,0.754000002145483,0.5540000001803803
18.898,0.7520000021454841,0.5520000001803814
18.9,0.7500000021454813,0.5500000001803786
18.9,0.7500000021454813,0.5500000001803786
18.902,0.7480000021454827,0.54800000018038
18.904,0.7460000021454849,0.5460000001803822
18.906,0.7440000021454848,0.5440000001803821
18.908,0.7420000021454823,0.5420000001803796
18.91,0.7400000021454834,0.5400000001803807
18.912,0.7380000021454856,0.5380000001803829
18.914,0.7360000021454831,0.5360000001803804
18.916,0.7340000021454842,0.5340000001803815
18.918,0.7320000021454853,0.5320000001803826
18.92,0.7300000021454829,0.5300000001803802
18.92,0.7300000021454829,0.5300000001803802
18.922,0.7280000021454861,0.5280000001803834
18.924,0.7260000021454861,0.5260000001803834
18.926,0.7240000021454884,0.5240000001803857
18.928,0.722000002145486,0.5220000001803833
18.93,0.7200000021454871,0.5200000001803844
18.932,0.7180000021454872,0.5180000001803845
18.934,0.7160000021454848,0.5160000001803821
18.936,0.7140000021454859,0.5140000001803832
18.938,0.712000002145487,0.5120000001803843
18.94,0.7100000021454845,0.5100000001803818
18.942,0.7080000021454871,0.5080000001803844
18.944,0.7060000021454882,0.5060000001803855
18.946,0.7040000021454857,0.504000000180383
18.948,0.7020000021454869,0.5020000001803842
18.95,0.700000002145488,0.5000000001803853
18.952,0.6980000021454855,0.4980000001803828
18.954,0.6960000021454866,0.4960000001803839
18.956,0.6940000021454877,0.494000000180385
18.958,0.6920000021454888,0.4920000001803861
18.95999999999999,0.6900000021454935,0.4900000001803908
18.95999999999999,0.6900000021454935,0.4900000001803908
18.96,0.6900000021454864,0.4900000001803837
18.962,0.6880000021454935,0.4880000001803907
18.964,0.6860000021454949,0.4860000001803922
18.966,0.6840000021454933,0.4840000001803906
18.968,0.6820000021454944,0.4820000001803917
18.97,0.6800000021454955,0.4800000001803928
18.972,0.6780000021454946,0.4780000001803919
18.974,0.6760000021454957,0.476000000180393
18.976,0.6740000021454968,0.4740000001803941
18.978,0.6720000021454944,0.4720000001803917
18.98,0.6700000021454955,0.4700000001803928
18.982,0.6680000021454962,0.4680000001803934
18.984,0.6660000021454937,0.4660000001803909
18.986,0.6640000021454948,0.4640000001803921
18.988,0.6620000021454959,0.4620000001803932
18.99,0.660000002145497,0.4600000001803943
18.992,0.6580000021454946,0.4580000001803918
18.994,0.6560000021454957,0.4560000001803929
18.996,0.6540000021454968,0.454000000180394
18.998,0.6520000021454944,0.4520000001803916
19,0.6500000021454955,0.4500000001803927
19.002,0.6480000021454956,0.4480000001803928
19.004,0.6460000021454931,0.4460000001803904
19.006,0.6440000021454942,0.4440000001803915
19.008,0.6420000021454954,0.4420000001803926
19.01,0.6400000021454929,0.4400000001803901
19.012,0.638000002145494,0.4380000001803913
19.014,0.6360000021454951,0.4360000001803924
19.016,0.6340000021454962,0.4340000001803935
19.018,0.6320000021454938,0.432000000180391
19.02,0.6300000021454949,0.4300000001803921
19.022,0.628000002145496,0.4280000001803932
19.024,0.6260000021454936,0.4260000001803908
19.026,0.6240000021454947,0.4240000001803919
19.028,0.6220000021454958,0.422000000180393
19.03,0.6200000021454933,0.4200000001803906
19.032,0.6180000021454944,0.4180000001803917
19.034,0.6160000021454956,0.4160000001803928
19.036,0.6140000021454931,0.4140000001803903
19.038,0.6120000021454942,0.4120000001803915
19.04,0.6100000021454953,0.4100000001803926
19.042,0.6080000021454929,0.4080000001803901
19.044,0.6060000021454955,0.4060000001803928
19.046,0.6040000021454967,0.4040000001803939
19.048,0.6020000021454978,0.402000000180395
19.05,0.6000000021454953,0.4000000001803926
19.052,0.5980000021454964,0.3980000001803937
19.054,0.5960000021454975,0.3960000001803948
19.056,0.5940000021454951,0.3940000001803923
19.058,0.5920000021454962,0.3920000001803934
19.06,0.5900000021454973,0.3900000001803945
19.062,0.5880000021454949,0.3880000001803921
19.064,0.586000002145496,0.3860000001803932
19.066,0.5840000021454971,0.3840000001803943
19.068,0.5820000021454946,0.3820000001803919
19.07,0.5800000021454957,0.380000000180393
19.072,0.5780000021454968,0.3780000001803941
19.074,0.5760000021454944,0.3760000001803916
19.076,0.5740000021454955,0.3740000001803928
19.078,0.5720000021454966,0.3720000001803939
19.08,0.5700000021454977,0.370000000180395
19.082,0.5680000021454953,0.3680000001803925
19.084,0.5660000021454964,0.3660000001803936
19.086,0.5640000021454975,0.3640000001803947
19.088,0.5620000021454951,0.3620000001803923
19.09,0.5600000021454962,0.3600000001803934
