"time","sAc.con.concentration","sNe.con.concentration","vNe.con.concentration","wNe.con.concentration","baro.broad.xbroad","blood.vessel.pressure","lung.resp.phase","lung.signal.activation","sNeRelease.inhibition_signal","sym.signal.activation","heart.contraction.T","baro.signal.activation","para.signal.activation"
0.418,0.3063337083642734,0.1286657948050562,0.1245589006011531,0.1339559565755265,71.42405471145004,136.860161654735,-0.6104216879816026,0.10588719400478,87.47456977197238,0,1,71.42405471145004,87.47456977197238
0.419,0.3062209024642715,0.1286853901395613,0.1245697260896933,0.1339876259562208,71.33406930420726,136.7629375503368,-0.611665125428736,0.1054043570957058,87.35339026841002,0,1,71.33406930420726,87.35339026841002
0.42,0.306101501478135,0.1287050423253963,0.1245805821978328,0.1340192874199984,71.24409639934193,136.6657842764679,-0.6129070536529764,0.1049224938121548,87.23231235387932,0,1,71.24409639934193,87.23231235387932
0.421,0.3059756545606197,0.1287247513196179,0.1245914689116538,0.1340509409691575,71.15413645257988,136.5687017712688,-0.6141474695899892,0.1044416053430769,87.11133646327715,0,1,71.15413645257988,87.11133646327715
0.422,0.3058435170225567,0.128744516980702,0.1246023861677456,0.1340825866059184,71.06418991835427,136.4716899750201,-0.6153863701791714,0.1039616928750165,86.99046302955222,0,1,71.06418991835427,86.99046302955222
0.423,0.3057052156271726,0.1287643393641386,0.1246133340006784,0.1341142243323524,70.97425724950827,136.3747488319235,-0.616623752363659,0.1034827575921099,86.86969248339932,0,1,70.97425724950827,86.86969248339932
0.424,0.3055608874556002,0.1287842184542111,0.1246243124096098,0.1341458541505846,70.8843388972364,136.2778782847638,-0.6178596130903343,0.1030048006760824,86.74902525320184,0,1,70.8843388972364,86.74902525320184
0.425,0.3054106353199041,0.1288041541352406,0.1246353213422394,0.1341774760622998,70.7944353111715,136.1810782884081,-0.619093949309834,0.102527823306245,86.62846176512554,0,1,70.7944353111715,86.62846176512554
0.426,0.3052545848552254,0.1288241463581225,0.1246463607805378,0.1342090900694761,70.70454693990446,136.0843487896765,-0.620326757976556,0.1020518266594921,86.50800244366185,0,1,70.70454693990446,86.50800244366185
0.427,0.3050928729466739,0.1288441951065686,0.1246574307233677,0.134240696174236,70.61467423139797,135.9876897314229,-0.6215580360486677,0.101576811910298,86.38764771206058,0,1,70.61467423139797,86.38764771206058
0.428,0.3049256275432798,0.1288643003382243,0.1246685311561741,0.1342722943785875,70.52481763290213,135.8911010596516,-0.6227877804881126,0.1011027802307145,86.26739799224475,0,1,70.52481763290213,86.26739799224475
0.429,0.3047529530158001,0.1288844617420771,0.1246796619293107,0.1343038846843392,70.43497759079267,135.7945827262684,-0.6240159882606184,0.1006297327903676,86.14725370464535,0,1,70.43497759079267,86.14725370464535
0.43,0.304574973699461,0.1289046792345956,0.1246908230075172,0.1343354670934685,70.34515455071529,135.6981346781824,-0.6252426563357051,0.1001576707564548,86.02721526835387,0,1,70.34515455071529,86.02721526835387
0.431,0.3043918184256831,0.1289249527834791,0.1247020143812939,0.1343670416079907,70.25534895767886,135.6017568611769,-0.6264677816866908,0.09968659529374219,85.90728310122174,0,1,70.25534895767886,85.90728310122174
0.432,0.3042036105434945,0.1289452822939594,0.1247132360097301,0.1343986082298746,70.16556125593524,135.5054492224078,-0.6276913612907005,0.09921650756456174,85.78745761973816,0,1,70.16556125593524,85.78745761973816
0.433,0.3040104332276294,0.1289656675335851,0.1247244877827158,0.1344301669610644,70.0757918888585,135.4092117103758,-0.628913392128673,0.09874740872880816,85.66773923890747,0,1,70.0757918888585,85.66773923890747
0.434,0.3038124066791917,0.1289861083967994,0.124735769653918,0.134461717803527,69.98604129893135,135.3130442723421,-0.6301338711853691,0.09827929994393625,85.54812837223787,0,1,69.98604129893135,85.54812837223787
0.435,0.3036096546898525,0.1290066047903508,0.1247470815831884,0.1344932607592318,69.89630992773516,135.2169468554476,-0.6313527954493777,0.09781218236495781,85.42862543173381,0,1,69.89630992773516,85.42862543173381
0.436,0.3034022931512713,0.1290271565939135,0.124758423516771,0.1345247958301431,69.80659821590265,135.1209194070977,-0.6325701619131244,0.09734605714443906,85.3092308278498,0,1,69.80659821590265,85.3092308278498
