"time","blood.vessel.pressure","cNeAmount.con.concentration","lung.r","vNeAmount.con.concentration","baro.signal.activation","cNeEmit.trigger.activation","para.signal.activation","heart.tlast","symp.signal.activation"
0.152,109.379480181698,0.02317040513138453,0.5434285714285715,0.03780716408030841,1.137802959075635,0.04034653318142722,0.05477385447132857,0,0.04034653318142722
0.153,109.339657223022,0.02315882282616026,0.5437142857142858,0.03788824021687833,1.137022388026993,0.04097084441540033,0.05474054137628001,0,0.04097084441540033
0.154,109.2998469732745,0.02314724631053766,0.544,0.03796927582623651,1.136242067502703,0.04159495429931293,0.05470722284745819,0,0.04159495429931293
0.155,109.2600494294981,0.0231356755815857,0.5442857142857144,0.03805027092890022,1.135461997444614,0.0422188628801603,0.05467389889035224,0,0.0422188628801603
0.156,109.2202645888125,0.02312411063645597,0.5445714285714287,0.03813122554480836,1.134682177796087,0.04284257020372606,0.05464056951056087,0,0.04284257020372606
0.157,109.1804924484532,0.02311255147242414,0.5448571428571429,0.03821213969303115,1.133902608502769,0.04346607631397337,0.05460723471382253,0,0.04346607631397337
0.158,109.1407330053183,0.02310099808640415,0.5451428571428573,0.03829301339517113,1.133123289503631,0.04408938126020545,0.05457389450566082,0,0.04408938126020545
0.159,109.1009862564658,0.0230894504754815,0.5454285714285716,0.03837384667162964,1.132344220740801,0.04471248508920411,0.05454054889177373,0,0.04471248508920411
0.16,109.0612521989538,0.02307790863674174,0.5457142857142858,0.03845463954280795,1.131565402156405,0.04533538784775593,0.0545071978779085,0,0.04533538784775593
0.161,109.0215308298404,0.0230663725672704,0.5460000000000002,0.03853539202910739,1.130786833692559,0.04595808958265779,0.05447384146986135,0,0.04595808958265779
0.162,108.9818221461837,0.02305484226415298,0.5462857142857144,0.03861610415092927,1.130008515291378,0.04658059034071194,0.05444047967347769,0,0.04658059034071194
0.163,108.9421261451434,0.02304331772459501,0.5465714285714287,0.03869677592783512,1.129230446896979,0.04720289016712054,0.05440711249473153,0,0.04720289016712054
0.164,108.9024428242467,0.0230317989462357,0.546857142857143,0.03877740737635024,1.128452628460739,0.04782498910128052,0.05437373993993365,0,0.04782498910128052
0.165,108.8627721802286,0.02302028592577917,0.5471428571428573,0.03885799851954595,1.127675059918367,0.04844688719512791,0.05434036201482356,0,0.04844688719512791
0.166,108.8231142101759,0.02300877866034474,0.5474285714285716,0.03893854937758698,1.12689774121252,0.04906858449504159,0.05430697872546514,0,0.04906858449504159
